HUC_8,netchange,timechange,month,code
07020009,NA,March-April,4,1
07040008,NA,March-April,4,2
07060001,16,March-April,4,3
07060002,0,March-April,4,4
07060003,NA,March-April,4,5
07060004,32.5,March-April,4,6
07060005,NA,March-April,4,7
07060006,-474.3333333,March-April,4,8
07080101,NA,March-April,4,9
07080102,-170,March-April,4,10
07080103,0,March-April,4,11
07080104,NA,March-April,4,12
07080105,-108.3333334,March-April,4,13
07080106,-57,March-April,4,14
07080107,280,March-April,4,15
07080201,-444.5,March-April,4,16
07080202,-75,March-April,4,17
07080203,NA,March-April,4,18
07080204,10,March-April,4,19
07080205,-98.66666667,March-April,4,20
07080206,-139,March-April,4,21
07080207,0,March-April,4,22
07080208,34,March-April,4,23
07080209,97,March-April,4,24
07100002,-21,March-April,4,25
07100003,-55,March-April,4,26
07100004,45,March-April,4,27
07100005,-12,March-April,4,28
07100006,-10,March-April,4,29
07100007,-22,March-April,4,30
07100008,43.25,March-April,4,31
07100009,-210,March-April,4,32
07110001,NA,March-April,4,33
07110002,NA,March-April,4,34
10170203,-10,March-April,4,35
10170204,NA,March-April,4,36
10230001,-33,March-April,4,37
10230002,320,March-April,4,38
10230003,-95.25,March-April,4,39
10230004,-43,March-April,4,40
10230005,-32,March-April,4,41
10230006,NA,March-April,4,42
10230007,33,March-April,4,43
10240001,NA,March-April,4,44
10240002,32,March-April,4,45
10240003,32,March-April,4,46
10240004,-265,March-April,4,47
10240005,NA,March-April,4,48
10240009,330,March-April,4,49
10240010,190,March-April,4,50
10240012,NA,March-April,4,51
10240013,NA,March-April,4,52
10280101,NA,March-April,4,53
10280102,-22,March-April,4,54
10280103,NA,March-April,4,55
10280201,-31,March-April,4,56
07020009,NA,April-May,5,1
07040008,NA,April-May,5,2
07060001,-32,April-May,5,3
07060002,-10,April-May,5,4
07060003,NA,April-May,5,5
07060004,-37.5,April-May,5,6
07060005,NA,April-May,5,7
07060006,256.1904762,April-May,5,8
07080101,NA,April-May,5,9
07080102,21,April-May,5,10
07080103,76,April-May,5,11
07080104,NA,April-May,5,12
07080105,53.06666667,April-May,5,13
07080106,-35.33333333,April-May,5,14
07080107,-208,April-May,5,15
07080201,10.5,April-May,5,16
07080202,0,April-May,5,17
07080203,NA,April-May,5,18
07080204,519,April-May,5,19
07080205,-24.88888889,April-May,5,20
07080206,64,April-May,5,21
07080207,-15,April-May,5,22
07080208,-58.14285714,April-May,5,23
07080209,162.5,April-May,5,24
07100002,10,April-May,5,25
07100003,0,April-May,5,26
07100004,1012.571429,April-May,5,27
07100005,-53,April-May,5,28
07100006,129.3225806,April-May,5,29
07100007,7976,April-May,5,30
07100008,537.75,April-May,5,31
07100009,-81,April-May,5,32
07110001,NA,April-May,5,33
07110002,NA,April-May,5,34
10170203,-202,April-May,5,35
10170204,NA,April-May,5,36
10230001,52.3333333,April-May,5,37
10230002,-313.5,April-May,5,38
10230003,1779,April-May,5,39
10230004,-10,April-May,5,40
10230005,89,April-May,5,41
10230006,NA,April-May,5,42
10230007,29,April-May,5,43
10240001,NA,April-May,5,44
10240002,48.5,April-May,5,45
10240003,90.6666667,April-May,5,46
10240004,0,April-May,5,47
10240005,NA,April-May,5,48
10240009,-68,April-May,5,49
10240010,-80,April-May,5,50
10240012,NA,April-May,5,51
10240013,NA,April-May,5,52
10280101,NA,April-May,5,53
10280102,345,April-May,5,54
10280103,NA,April-May,5,55
10280201,124.4,April-May,5,56
07020009,NA,May-June,6,1
07040008,NA,May-June,6,2
07060001,7685,May-June,6,3
07060002,7290,May-June,6,4
07060003,NA,May-June,6,5
07060004,1180,May-June,6,6
07060005,NA,May-June,6,7
07060006,3105.681319,May-June,6,8
07080101,NA,May-June,6,9
07080102,229,May-June,6,10
07080103,395.8333333,May-June,6,11
07080104,-139.0833333,May-June,6,12
07080105,198.7111111,May-June,6,13
07080106,187.1458333,May-June,6,14
07080107,174.0833333,May-June,6,15
07080201,221.5,May-June,6,16
07080202,220,May-June,6,17
07080203,185.5,May-June,6,18
07080204,-225.8333333,May-June,6,19
07080205,344.9766082,May-June,6,20
07080206,200,May-June,6,21
07080207,331.3,May-June,6,22
07080208,1544.613445,May-June,6,23
07080209,-18.0769231,May-June,6,24
07100002,810,May-June,6,25
07100003,159,May-June,6,26
07100004,-1002.008929,May-June,6,27
07100005,15.66666667,May-June,6,28
07100006,54.0161291,May-June,6,29
07100007,-7922.2,May-June,6,30
07100008,-470.95,May-June,6,31
07100009,20.5,May-June,6,32
07110001,NA,May-June,6,33
07110002,NA,May-June,6,34
10170203,NA,May-June,6,35
10170204,NA,May-June,6,36
10230001,83.6666667,May-June,6,37
10230002,88.6666667,May-June,6,38
10230003,-1699.176471,May-June,6,39
10230004,1090,May-June,6,40
10230005,1380,May-June,6,41
10230006,-65.4,May-June,6,42
10230007,17.1666667,May-June,6,43
10240001,NA,May-June,6,44
10240002,133.3,May-June,6,45
10240003,-13.3333334,May-June,6,46
10240004,1015,May-June,6,47
10240005,NA,May-June,6,48
10240009,-245.6,May-June,6,49
10240010,800,May-June,6,50
10240012,-243.8,May-June,6,51
10240013,-223,May-June,6,52
10280101,NA,May-June,6,53
10280102,-365.6153846,May-June,6,54
10280103,NA,May-June,6,55
10280201,-87.76363636,May-June,6,56
07020009,NA,June-July,7,1
07040008,NA,June-July,7,2
07060001,-7372,June-July,7,3
07060002,-7040,June-July,7,4
07060003,NA,June-July,7,5
07060004,-1010,June-July,7,6
07060005,NA,June-July,7,7
07060006,-3043.902098,June-July,7,8
07080101,3,June-July,7,9
07080102,-229,June-July,7,10
07080103,2.7666667,June-July,7,11
07080104,-15.125,June-July,7,12
07080105,132.8888889,June-July,7,13
07080106,-187.2569444,June-July,7,14
07080107,-123.8833333,June-July,7,15
07080201,-206,June-July,7,16
07080202,-177,June-July,7,17
07080203,-92.1666667,June-July,7,18
07080204,-240.1666667,June-July,7,19
07080205,-125.2210526,June-July,7,20
07080206,-127.5,June-July,7,21
07080207,-256.5857143,June-July,7,22
07080208,-1499.613445,June-July,7,23
07080209,-63.8397436,June-July,7,24
07100002,-620,June-July,7,25
07100003,170,June-July,7,26
07100004,-41.89583333,June-July,7,27
07100005,-1.16666667,June-July,7,28
07100006,987.5578423,June-July,7,29
07100007,-34.8,June-July,7,30
07100008,-225.1676471,June-July,7,31
07100009,34.2,June-July,7,32
07110001,NA,June-July,7,33
07110002,NA,June-July,7,34
10170203,NA,June-July,7,35
10170204,NA,June-July,7,36
10230001,220,June-July,7,37
10230002,126.0833333,June-July,7,38
10230003,424.1098039,June-July,7,39
10230004,2500,June-July,7,40
10230005,-620,June-July,7,41
10230006,333.15,June-July,7,42
10230007,-83.4166667,June-July,7,43
10240001,NA,June-July,7,44
10240002,-160.8,June-July,7,45
10240003,-84.66666663,June-July,7,46
10240004,NA,June-July,7,47
10240005,NA,June-July,7,48
10240009,-77.6,June-July,7,49
10240010,NA,June-July,7,50
10240012,13.8,June-July,7,51
10240013,33.7,June-July,7,52
10280101,NA,June-July,7,53
10280102,31.04395605,June-July,7,54
10280103,NA,June-July,7,55
10280201,320.2525253,June-July,7,56
07020009,NA,July-August,8,1
07040008,NA,July-August,8,2
07060001,-241.5,July-August,8,3
07060002,-208,July-August,8,4
07060003,NA,July-August,8,5
07060004,-149.5,July-August,8,6
07060005,NA,July-August,8,7
07060006,-184.8363636,July-August,8,8
07080101,-5,July-August,8,9
07080102,119,July-August,8,10
07080103,-454.6,July-August,8,11
