name,year,rate,code
07020009,4,-100000,1
07040008,4,-100000,2
07060001,4,16,3
07060002,4,0,4
07060003,4,-100000,5
07060004,4,32.5,6
07060005,4,-100000,7
07060006,4,-474.3333333,8
07080101,4,-100000,9
07080102,4,-170,10
07080103,4,0,11
07080104,4,-100000,12
07080105,4,-108.3333334,13
07080106,4,-57,14
07080107,4,280,15
07080201,4,-444.5,16
07080202,4,-75,17
07080203,4,-100000,18
07080204,4,10,19
07080205,4,-98.66666667,20
07080206,4,-139,21
07080207,4,0,22
07080208,4,34,23
07080209,4,97,24
07100002,4,-21,25
07100003,4,-55,26
07100004,4,45,27
07100005,4,-12,28
07100006,4,-10,29
07100007,4,-22,30
07100008,4,43.25,31
07100009,4,-210,32
07110001,4,-100000,33
07110002,4,-100000,34
10170203,4,-10,35
10170204,4,-100000,36
10230001,4,-33,37
10230002,4,320,38
10230003,4,-95.25,39
10230004,4,-43,40
10230005,4,-32,41
10230006,4,-100000,42
10230007,4,33,43
10240001,4,-100000,44
10240002,4,32,45
10240003,4,32,46
10240004,4,-265,47
10240005,4,-100000,48
10240009,4,330,49
10240010,4,190,50
10240012,4,-100000,51
10240013,4,-100000,52
10280101,4,-100000,53
10280102,4,-22,54
10280103,4,-100000,55
10280201,4,-31,56
07020009,5,-100000,1
07040008,5,-100000,2
07060001,5,-32,3
07060002,5,-10,4
07060003,5,-100000,5
07060004,5,-37.5,6
07060005,5,-100000,7
07060006,5,256.1904762,8
07080101,5,-100000,9
07080102,5,21,10
07080103,5,76,11
07080104,5,-100000,12
07080105,5,53.06666667,13
07080106,5,-35.33333333,14
07080107,5,-208,15
07080201,5,10.5,16
07080202,5,0,17
07080203,5,-100000,18
07080204,5,519,19
07080205,5,-24.88888889,20
07080206,5,64,21
07080207,5,-15,22
07080208,5,-58.14285714,23
07080209,5,162.5,24
07100002,5,10,25
07100003,5,0,26
07100004,5,1012.571429,27
07100005,5,-53,28
07100006,5,129.3225806,29
07100007,5,7976,30
07100008,5,537.75,31
07100009,5,-81,32
07110001,5,-100000,33
07110002,5,-100000,34
10170203,5,-202,35
10170204,5,-100000,36
10230001,5,52.3333333,37
10230002,5,-313.5,38
10230003,5,1779,39
10230004,5,-10,40
10230005,5,89,41
10230006,5,-100000,42
10230007,5,29,43
10240001,5,-100000,44
10240002,5,48.5,45
10240003,5,90.6666667,46
10240004,5,0,47
10240005,5,-100000,48
10240009,5,-68,49
10240010,5,-80,50
10240012,5,-100000,51
10240013,5,-100000,52
10280101,5,-100000,53
10280102,5,345,54
10280103,5,-100000,55
10280201,5,124.4,56
07020009,6,-100000,1
07040008,6,-100000,2
07060001,6,7685,3
07060002,6,7290,4
07060003,6,-100000,5
07060004,6,1180,6
07060005,6,-100000,7
07060006,6,3105.681319,8
07080101,6,-100000,9
07080102,6,229,10
07080103,6,395.8333333,11
07080104,6,-139.0833333,12
07080105,6,198.7111111,13
07080106,6,187.1458333,14
07080107,6,174.0833333,15
07080201,6,221.5,16
07080202,6,220,17
07080203,6,185.5,18
07080204,6,-225.8333333,19
07080205,6,344.9766082,20
07080206,6,200,21
07080207,6,331.3,22
07080208,6,1544.613445,23
